No,Business Name,Website URL,Reason for Website Refresh,Public Phone Number,Public Contact Email (Requires Opt-in Consent),Source
1,A.K. Hairdressing,http://akhairdressing.co.uk/,"Outdated, non-responsive design; basic layout.",0131 552 4627,ak.hairdressing@yahoo.co.uk,Google Maps
2,Coco Hair & Beauty,https://cocohairandbeautysalon.com/,Functional but aesthetically dated; lacks modern polish.,0131 556 5000,info@cocohairandbeautysalon.com,Google Maps
3,Dickson Reid Hairdressing,https://www.dicksonreid.co.uk/,Basic older design; could benefit from modern aesthetics.,0131 667 5422,info@dicksonreid.co.uk,Google Maps
4,Urban Edinburgh Hair,https://www.urbanedinburghhair.co.uk/,Generic template feel; could be more customised/branded.,0131 556 7771,urbanedinburghhair@gmail.com,Google Maps
5,Paulee Professional Hair Design,http://www.pauleehairdesign.co.uk/,"Clearly older, non-responsive, fixed-width site.",0131 447 9797,Contact form only,Google Maps
6,House of Hair Edinburgh,http://www.houseofhairedinburgh.co.uk/,"Older, non-responsive design; very basic and outdated.",0131 556 1827,houseofhairedinburgh@gmail.com,Google Maps
7,Paterson SA,https://paterson-sa.com/,Functional but design feels heavy and somewhat dated.,0131 557 3254,info@paterson-sa.com,Google Maps
8,Gary Lees Hairdressing,http://www.garyleeshairdressing.co.uk/,"Very basic, old-school, non-responsive website.",0131 447 3777,garyleeshairdressing@hotmail.co.uk,Google Maps
9,Cutting Edge (Broughton St),http://www.cuttingedge-edinburgh.com/,"Very simple, fixed-width, clearly an older design.",0131 553 4307,cuttingedge@btconnect.com,Yell.com
10,Burdal Hair,http://www.burdalhair.co.uk/,"Extremely basic, non-responsive, minimal content.",0131 228 1717,burdalhair@googlemail.com,Yell.com
11,Roots Hair Design,http://www.rootshairdesign.co.uk/,"Classic old-style, non-responsive, fixed-width website.",0131 446 0033,Contact form only,Yell.com
12,Hair by JFK,https://www.hairbyjfk.com/,Modern but layout/some design choices feel generic.,0131 557 0007,info@hairbyjfk.com,Yell.com
13,Hair Boutique EH3,https://www.hairboutiqueeh3.co.uk/,Basic template site; lacks unique branding/premium feel.,0131 225 5727,info@hairboutiqueeh3.co.uk,Google Maps
14,The Studio Hair,https://thestudiohair.co.uk/,"Functional but design feels stock; could use customisation.",0131 557 9119,thestudiohairedinburgh@gmail.com,Google Maps
15,Cutting Edge Hair and Beauty (Leith),http://www.cuttingedgehairandbeauty.co.uk/,"Very basic, old-school, non-responsive design.",0131 554 9999,info@cuttingedgehairandbeauty.co.uk,Google Maps
16,The Colour Collective,https://www.thecolourcollective.co.uk/,Functional but design is busy; could be more streamlined.,0131 285 4010,hello@thecolourcollective.co.uk,Google Maps
17,Craig & Co Hair Salon,http://www.craigandco.co.uk/,"Very basic, non-responsive, older design; minimal info.",0131 228 1729,Contact form only,Yell.com
18,K-CUT Hairdressing,http://www.k-cuthairdressing.co.uk/,"Old, non-responsive design, very simple layout.",0131 661 5865,enquiries@k-cuthairdressing.co.uk,Yell.com
19,Top Style Hair Design,https://www.topstylehairdesign.co.uk/,"Functional but design feels dated, especially imagery.",0131 665 1475,topstyle@btconnect.com,Google Maps
20,Muse Hairdressing,https://muse-hairdressing.com/,Functional but a bit generic and could be more visually engaging.,0131 220 5414,info@muse-hairdressing.com,Google Maps
